Country Code,Region,AG.LND.ARBL.ZS,EG.ELC.ACCS.ZS,NE.TRD.GNFS.ZS,NV.IND.MANF.ZS,NY.GDP.MINR.RT.ZS,NY.GDP.PETR.RT.ZS,NY.GNP.PCAP.KD,SE.PRM.CMPT.ZS,SH.H2O.BASW.ZS,SI.DST.10TH.10,SL.TLF.0714.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.INTM.ZS,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,TX.VAL.AGRI.ZS.UN,TX.VAL.MMTL.ZS.UN
JOR,Middle East & North Africa,2.29745253057639,100.0,99.6794477365724,17.705386647398,0.0,0.0143633135367042,3997.37519606334,97.0489098281018,99.2861089236717,27.4,1.23,59.386,42.374,16.029,62.473,40.868,7.0498606235714,92.9501393764286,0.343928093112301,9.38432509607852
KEN,Sub-Saharan Africa,11.4175064467254,76.2,40.1860139968756,7.2507294225429,0.0056624309238929,0.0,1853.17555605626,102.200240064297,65.5965968528709,30.1,34.4388861650453,62.098,65.634,63.036,71.85,56.486,68.1062168278401,31.8937831721599,12.9437641682399,5.12139249435883
KGZ,Europe & Central Asia,6.70690823774765,100.0,127.650577802859,12.6145669633027,11.1502022599394,0.0824296570356698,1854.50839711676,95.3120817772793,94.9430591604871,23.0,41.0805541132616,73.66,26.82,44.136,71.396,63.46,65.2780022134063,34.7219977865937,0.986959725485491,9.15208447252274
LAO,East Asia & Pacific,5.30329289428076,96.5,75.0918909204124,9.05367016557271,3.88929844488645,0.0,2267.08130466193,85.2487998761162,95.8635794968398,31.2,8.6,77.906,69.768,61.56,70.629,64.853,60.4447845598594,39.5552154401406,10.3443748546534,20.1790222280288
LKA,South Asia,22.1791141286777,100.0,42.3975008711047,17.5917877693489,0.0,0.0,4023.75022221321,94.542850980354,90.2138440260395,30.8,10.7,80.98,48.874,30.992,67.772,47.085,79.7003002941314,20.2996997058686,2.70921266695468,0.566958693554718
LSO,Sub-Saharan Africa,11.7505928853755,57.3,141.51375589725,13.5448251142786,0.0,0.0,1181.68536950404,66.9579010009766,78.0789963759688,32.9,2.6,86.332,63.245,48.091,66.917,67.254,56.3219665790754,43.6780334209246,5.14838321275106,1.45669819893022
MAR,Middle East & North Africa,15.4023118978266,100.0,92.1872446062404,15.2654153716279,0.265907979887688,0.0010111851115324,3548.67260742188,106.370769185132,92.2120267209653,31.9,4.5,68.17,39.57,19.696,68.059,52.85,37.2001875981803,62.7998124018197,0.62238211150077,4.40788917871175
MDA,Europe & Central Asia,56.8174916489523,100.0,88.6661154286831,7.71705640875898,0.0,0.0117069637364196,4172.60897148199,108.061881105591,92.7079162757946,22.8,29.0,75.128,66.575,72.33,72.241,74.554,56.483528137207,43.516471862793,0.389961376516134,2.30971292114317
MDG,Sub-Saharan Africa,5.15641113784806,39.4,54.9795881437152,12.6451562899679,0.0,0.0838298700394072,429.30283072513,60.7106953292253,55.3389608321256,29.6,26.0,69.244,89.779,82.913,88.094,73.651,67.5660106660156,32.4339893339844,1.21262317849784,39.3062064198727
MEX,Latin America & Caribbean,10.3004679132694,99.7,74.5889079825143,19.8017537671375,1.36465937318187,2.06594374719816,10611.3694145157,103.764976501465,99.5413676283293,34.4,5.606943,78.299,57.3,47.45,77.113,64.59,20.2461194023882,79.7538805976118,0.135793616743558,2.07662846039546
MKD,Europe & Central Asia,16.4948453608247,100.0,136.324876175556,14.3415421040452,0.0,0.0,6584.68944471953,95.7642974853516,98.1873314046173,22.9,19.8,75.085,27.888,42.742,61.838,60.144,37.4354623071467,62.5645376928533,0.485247004268308,4.69084691478699
MLI,Sub-Saharan Africa,6.83582065088224,54.5,49.8960414309506,7.62473561031489,16.1833154644134,0.0,961.853235215588,48.4277284647973,86.3633567815443,28.3,29.7,65.304,48.24,52.842,81.022,76.08,68.3924378817775,31.6075621182225,8.41194986648113,0.734126231592023
MNG,East Asia & Pacific,0.733569879360895,100.0,138.448379141249,5.57316319739662,26.5731453966821,1.49715573696848,5757.89211611291,93.48303548023,86.092655324442,24.6,14.699067382827,76.471,41.924,51.458,68.217,59.539,29.0433959960938,70.9566040039062,2.70848197810823,26.2663019687269
MOZ,Sub-Saharan Africa,7.18482158752766,36.0,95.659420351194,6.44434299229208,0.140484013033913,0.0793125662089328,568.442016339888,72.3655686845574,66.6252441342671,40.8,27.4,85.658,73.49,77.09,80.518,75.472,63.5667662552763,36.4332337447237,0.385291565245104,23.2777710502032
MRT,Sub-Saharan Africa,0.436596487823809,50.3,93.5988355881472,5.01102049175112,9.58503577077492,0.0,2102.20419433041,73.4478403637282,77.2846491375388,24.6,14.52555,70.671,36.882,26.18,56.613,48.832,39.3931413588171,60.6068586411829,0.241439220749537,33.7483319050619
MWI,Sub-Saharan Africa,42.4268137462877,15.6,42.4376683990967,10.9664606994782,0.0056459152723538,0.0,526.742129181593,70.1399332330763,73.0535741738591,31.0,48.9,71.137,49.524,58.18,67.342,58.388,82.731496468787,17.268503531213,0.918865120762054,0.849897159593092
NAM,Sub-Saharan Africa,0.971711061715799,56.7,109.628509818932,10.6400315996937,3.16791637362429,0.0,4517.87224085925,88.5636912842189,86.5087378352127,47.2,15.4382866349112,79.006,50.645,54.918,63.041,60.844,49.5911969747845,50.4088030252155,1.88037251427254,32.2873344750115
NER,Sub-Saharan Africa,13.9733164916713,20.1,49.9759837351389,6.9938602495652,0.830100168425339,0.622678205533793,683.365375513824,40.7638928475593,53.4274656286176,27.8,48.5,72.539,72.46,72.776,86.504,69.893,81.9502601549197,18.0497398450803,0.254736156920561,0.0225744207288111
NGA,Sub-Saharan Africa,40.4844252665327,61.2,26.1665128655299,8.65727818020008,0.0080083180987073,6.24674969005013,2519.08638995771,70.164909362793,82.2488935172216,26.3,35.06192,74.182,81.063,80.7,84.297,82.805,37.0244324426341,62.9755675573659,0.354505973278251,1.22423135300286
NPL,South Asia,12.5831880013952,94.0,40.5298226771909,4.36587696111805,0.0,0.0,1238.07682049905,109.435240565289,93.6401246842117,24.2,42.8274929134937,67.666,44.005,27.473,52.902,44.187,33.227656836971,66.772343163029,1.62694833173806,1.44460468329415
PAK,Middle East & North Africa,39.2538397675384,95.6,27.5784683520695,13.1538180941054,0.0687357166320551,0.380197434318265,1719.88794490243,74.135301829596,90.6932992273275,25.5,13.0,68.392,58.255,24.046,80.139,53.689,60.8265631639095,39.1734368360905,1.59667123225194,4.33562939812151
PAN,Latin America & Caribbean,7.61660825020221,97.0,83.6737787798304,4.93766629690914,3.57863766648832,0.0,16278.618026474,93.2789665970772,95.2628238815705,37.6,5.620417,78.518,54.001,54.936,77.864,68.886,34.0041552314512,65.9958447685488,4.69301415303623,9.59331459466598
PER,Latin America & Caribbean,3.06127421875,96.2,51.4758878672647,12.1140270326731,12.0963602788012,0.249104440244954,6829.51370922144,94.9881591796875,95.6370823826383,30.3,22.5665722356755,83.957,65.4,65.044,80.87,74.16,14.8087270399645,85.1912729600355,0.630394991286568,47.7744538607891
