"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Caribbean small states","CSS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.2740379038616","","","","","","",
"Cuba","CUB","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.85","","","","","","","71.59","70.39","","63.297","","","","","","","","","","","","","",
"Curacao","CUW","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.18","","63.52","","","","","",
"Cayman Islands","CYM","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.76","84.87","","84.58","85.95","","","","","","","","","","",
"Cyprus","CYP","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.666","72.254","73.913","73.283","72.22","71.429","72.373","71.673","72.42","72.444","71.731","70.711","70.062","70.188","69.879","70.04","68.114","65.558","67.342","67.94","67.305","65.418","66.847","68.023","67.771","66.49","",
"Czechia","CZE","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.608","70.458","70.083","69.658","69.08","68.249","67.507","67.367","66.633","65.94","65.438","64.762","64.058","63.562","63.454","63.479","63.242","63.314","63.545","63.567","63.889","63.585","62.801","62.372","62.237","62.674","65.976","",
"Germany","DEU","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.773","63.967","64.453","63.915","65.311","65.02","","65.042","64.497","64.032","64.084","63.539","63.001","63.972","64.377","64.132","64.183","64.164","63.444","63.946","63.914","64.108","64.492","64.049","65.02","64.753","64.573","64.988","63.006","63.047","63.098","63.314","63.149","",
"Djibouti","DJI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.44","","","","","","","","",
"Dominica","DMA","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.882","80.456","77.398","76.927","76.343","79.974","76.124","76.454","76.437","73.77","74.122","72.849","72.747","72.025","71.62","74.148","71.55","70.164","69.882","69.33","68.1","67.368","66.6","66.566","65.884","65.659","66.186","66.401","65.539","65.239","66.158","65.891","66.743","",
"Dominican Republic","DOM","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.9","67.835","67.211","65.3","62.59","64.319","64.896","63.407","65.036","60.55","60.972","63.239","66.104","66.004","64.718","68.456","62.92","61.841","62.71","64.856","59.223","64.698","65.456","65.581","67.768","",
"Algeria","DZA","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.1093846924141","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0173610351154","","","","","53.9148033958507","","54.1948620960281","","","","","","50.9800210241797","52.5180268198978","51.7403865521825","52.4455746239071","53.8164229447181","55.311189605377","","",
"East Asia & Pacific","EAS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.9053113294336","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3930672562987","53.9915831196631","64.1841373348676","","59.4406692781162","","","","","",
"Europe & Central Asia","ECS","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.9310426131278","","67.553993276481","","67.735526536683","67.914224574178","67.4822056202251","67.2980505232711","66.9820832027475","69.0449090501089","68.741569701331","68.5609393895074","68.1212502484165","67.4491389481375","67.1055119814953","67.0310649136238","64.5751333818908","66.1991922326063","65.5348516397928","63.8635766320633","64.360059372253","63.3865621825278","63.4032022456401","63.1854242135658","",
"Ecuador","ECU","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.514","64.388","","62.489","63.328","59.471","58.946","69.368","69.664","67.683","65.293","65.8","66.487","65.42","66.348","68.461","69.999","71.185","69.338","69.133","","69.442","70.619","68.714","68.64","",
"Egypt, Arab Rep.","EGY","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.856","55.29","56.85","57.507","58.107","58.045","56.988","53.755","52.473","51.029","48.268","59.476","45.503","48.048","47.904","49.534","51.478","",
"Euro area","EMU","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.7531210207593","64.5751293942475","64.3945672090872","65.2532630772199","65.3038510309367","66.4063559619922","66.6715679019881","66.9034247967093","66.490122108326","66.8412838441782","66.6848525530155","66.6065687969046","66.9065944065304","67.1388874718299","67.1640060396577","67.3236546062421","67.1231876823077","66.620224922729","66.0967123957184","66.0091736389226","65.5067681617669","65.2720881709772","64.9605644528208","65.0988633638198","64.4991629675984","64.214210575833","64.0169676486177","62.0115418601234","62.6001761413845","63.0695748196629","63.0847860073796","62.6730664831455","",
"Eritrea","ERI","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.22","55.778","55.325","55.152","55.132","55.876","56.287","58.776","61.562","60.904","63.925","65.909","67.043","68.98","70.026","70.963","71.741","71.682","72.07","70.832","70.242","69.674","69.018","68.513","68.727","66.614","65.8","66.127","62.621","63.365","63.934","63.798","62.311","",
"Estonia","EST","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.966","73.987","71.894","72.745","71.445","68.946","72.024","70.399","69.862","72.128","72.026","73.741","72.371","71.725","72.095","71.471","70.974","71.414","73.224","74.059","74.599","75.1","74.729","74.826","67.059","69.336","70.262","70.45","",
"Ethiopia","ETH","Labor force with intermediate education (% of total working-age population with intermediate education)","SL.TLF.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.906","","","","","","70.924","","","","","","","","81.207","","","","","","","","60.64","","","","",
